dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price,unique_id
"2,055 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block D,"2055 Sq Ft Cozy Flat For Rent In Bashundhara R-a, With Impressive Features And Price.",https://www.bproperty.com/en/property/details-5237946.html,35000.0,5237946
"1,911 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,Emanate Your Knack For Gardening By Renting This 1911 Sq. Ft Flat At Bashundhara R-A -Block A With Massive Balconies,https://www.bproperty.com/en/property/details-3875341.html,45000.0,3875341
"1,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block K,"To Secure Your Better State Of Living, Consider Renting This 1200 Sq Ft Apartment In Bashundhara, Block K",https://www.bproperty.com/en/property/details-5182996.html,20000.0,5182996
"1,910 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,"For Rental Purpose 1910 Sq Ft Commendable Designed Apartment Is Available In Bashundhara, Block A",https://www.bproperty.com/en/property/details-3875358.html,45000.0,3875358
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block G,"Bright And Cozy Apartment Featuring 800 Sq Ft Space Is Up For Rent In Bashundhara, Block G",https://www.bproperty.com/en/property/details-3651253.html,18000.0,3651253
"1,200 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block K,"Well Facilitated 1200 Sq Ft Residence Is Ready For Rent In Bashundhara, Block K",https://www.bproperty.com/en/property/details-5182994.html,20000.0,5182994
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,1250 Sq Ft Flat For Rent In Bashundhara R-a With High Quality Facilities,https://www.bproperty.com/en/property/details-5001346.html,25000.0,5001346
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,You can find a wonderful 1250 SQ FT flat for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-5001350.html,25000.0,5001350
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,Take rent of a nicely done 1250 SQ FT residential flat located at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001351.html,25000.0,5001351
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,"This suitable 1250 SQ FT residential flat is waiting to get rented at Bashundhara R-A, Block J",https://www.bproperty.com/en/property/details-5001352.html,25000.0,5001352
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,This convenient 1250 SQ FT residential home is waiting to get rented at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001353.html,25000.0,5001353
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,Be the dweller of this beautiful 1250 SQ FT residential home vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001354.html,25000.0,5001354
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,Be the occupant of this 1250 SQ FT residential apartment vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001355.html,25000.0,5001355
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,A well-featured rental 1250 SQ FT flat is ready for you to own at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001347.html,25000.0,5001347
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,A well sized 1250 SQ FT apartment is available for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001348.html,25000.0,5001348
"1,250 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,A well-featured rental 1250 SQ FT residence is ready for you to own at Bashundhara R-A,https://www.bproperty.com/en/property/details-5001349.html,25000.0,5001349
"2,000 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block C,Get this 2000 SQ FT residential flat vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3238593.html,40000.0,3238593
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,2100 SQ FT an amazing flat is now for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3841869.html,30000.0,3841869
"2,200 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,A very beautiful 2200 SQ FT flat is now available for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3836606.html,35000.0,3836606
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,"A very beautiful 2100 SQ FT flat is now available for rent in Bashundhara R-A, Block J",https://www.bproperty.com/en/property/details-3841868.html,30000.0,3841868
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,Be the awaited occupant of 2100 SQ FT residential home waiting to get rented at Bashundhara R-A,https://www.bproperty.com/en/property/details-3841867.html,30000.0,3841867
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,Be the awaited occupant of 2100 SQ FT residential home waiting to get rented at Bashundhara R-A,https://www.bproperty.com/en/property/details-3841870.html,30000.0,3841870
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,"This reasonable 2100 SQ FT residential home is ready for rent at Bashundhara R-A, Block J",https://www.bproperty.com/en/property/details-3841872.html,30000.0,3841872
"2,200 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,A 2200 SQ FT very reasonable medium flat is available for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3836604.html,35000.0,3836604
"2,200 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block J,A 2200 SQ FT very reasonable medium flat is available for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3836600.html,35000.0,3836600
"2,100 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block J,2100 SQ FT road sided apartment for rent in Bashundhara R-A,https://www.bproperty.com/en/property/details-3841871.html,30000.0,3841871
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,"Bringing you a 800 SQ FT home for rent, in Bashundhara R-A, Block J",https://www.bproperty.com/en/property/details-3836597.html,20000.0,3836597
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,"Bringing you a 800 SQ FT home for rent, in Bashundhara R-A",https://www.bproperty.com/en/property/details-3836599.html,20000.0,3836599
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,Consider moving into this apartment of 800 SQ FT in Bashundhara R-A for rent,https://www.bproperty.com/en/property/details-3836596.html,20000.0,3836596
800 sqft,2,2,Apartment,Dhaka,Bashundhara R-A,Block J,Consider moving into this apartment of 800 SQ FT in Bashundhara R-A for rent,https://www.bproperty.com/en/property/details-3836598.html,20000.0,3836598
"1,365 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,A strongly built 1365 SQ FT flat is available for rental purpose at Bashundhara R-A,https://www.bproperty.com/en/property/details-3849420.html,25000.0,3849420
"1,420 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block F,Get this 1420 SQ FT residential flat vacant for rent at Bashundhara R-A,https://www.bproperty.com/en/property/details-3849419.html,28000.0,3849419
